,id,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance
401,250187759,84.34,49,41,100,1,1,0,3
402,250128385,84.34,21,18,20,5,1,0,3
403,250153349,84,162,136,10,10,1,2,3
404,250169730,84,161,137,50,4,2,3,3
405,250119181,84,152,127,22.23,9,2,4,3
406,250101557,84,142,120,0,0,0,13,3
407,250148830,84,82,69,0,1,0,1,2
408,250081931,84,45,38,0,0,0,1,1
409,250054949,84,37,30,0,0,0,0,2
410,250080471,84,21,18,0,0,0,0,2
411,250165236,84,19,16,0,0,0,1,1
412,250171184,83.67,140,119,0,14,0,0,3
413,250102868,83.67,96,81,11.12,9,1,9,3
414,250172673,83.67,91,77,50,6,3,0,3
415,250087938,83.67,82,69,100,1,1,0,3
416,250169265,83.5,93,80,0,0,0,2,2
417,250040521,83.5,81,68,14.29,7,1,0,2
418,1906553,83.5,4,3,0,0,0,0,2
419,250106969,83.34,149,125,36.37,11,4,6,3
420,250113444,83.34,91,75,0,0,0,9,3
421,250132811,83.34,57,45,0,1,0,0,3
422,250091165,83.34,56,46,0,5,0,2,3
423,250162865,83.34,11,9,0,1,0,0,3
424,250171067,83,120,100,50,6,3,1,3
425,250063394,83,78,59,0,0,0,0,3
426,250104075,83,72,59,33.34,3,1,2,3
427,250108215,83,62,51,0,0,0,2,3
428,250192048,83,59,51,28.58,7,2,2,2
429,250127239,83,56,47,60,5,3,0,2
430,250106939,83,49,40,100,1,1,3,2
431,250015966,83,38,32,0,4,0,0,3
432,250194564,83,30,25,0,2,0,0,1
433,250115134,83,30,25,0,0,0,1,2
434,250090101,83,24,20,0,0,0,0,1
435,250063957,83,23,19,33.34,3,1,0,1
436,250055216,83,6,5,0,0,0,0,1
437,250196663,83,6,5,0,0,0,0,1
438,250113211,82.67,144,120,50,2,1,5,3
439,250134536,82.67,132,108,11.12,9,1,2,3
440,250189363,82.67,118,101,11.12,9,1,5,3
441,250016833,82.67,83,69,0,0,0,0,3
442,250144297,82.67,19,15,0,0,0,0,3
443,250081207,82.34,96,84,0,1,0,2,3
444,250171055,82.34,76,63,25,8,2,0,3
445,250056159,82.34,68,57,0,0,0,1,3
446,250172668,82.34,64,52,33.34,3,1,0,3
447,250173126,82.34,42,33,0,0,0,0,3
448,250025791,82,165,135,0,0,0,4,3
449,250087102,82,109,89,0,0,0,3,3
450,250138382,82,95,78,21.43,14,3,0,3
451,250115948,82,66,54,100,1,1,1,1
452,250166754,82,55,42,25,4,1,2,3
453,250177497,82,51,38,0,1,0,2,3
454,250106722,82,48,40,0,0,0,2,2
455,250188246,82,48,39,20,5,1,2,2
456,250186123,82,44,36,0,0,0,5,1
457,250014114,82,40,33,0,0,0,0,1
458,250101313,82,34,28,66.67,3,2,0,1
459,250058218,82,11,9,0,2,0,0,1
460,250061721,81.67,89,75,0,0,0,4,3
461,250078012,81.67,54,44,0,0,0,0,3
462,250086315,81.67,53,45,0,2,0,0,3
463,250127540,81.67,26,20,0,0,0,0,3
464,250128451,81.34,125,102,16.67,12,2,4,3
465,250079279,81.34,72,59,33.34,6,2,1,3
466,250134304,81.34,69,55,50,8,4,0,3
467,250188247,81,141,115,0,0,0,5,3
468,250101097,81,109,89,38.47,13,5,1,3
469,250118504,81,93,75,8.34,12,1,8,3
470,250099258,81,89,72,54.55,11,6,0,3
471,250081553,81,68,55,55.56,9,5,1,2
472,250099671,81,64,52,0,6,0,0,3
473,250127347,81,56,45,0,2,0,0,2
474,250193541,81,43,35,20,10,2,0,2
475,250052849,81,32,26,0,7,0,0,1
476,250178782,81,32,26,0,1,0,1,1
477,250105167,81,24,18,0,0,0,0,3
478,250132401,80.67,146,118,14.29,7,1,10,3
479,104733,80.34,91,74,0,0,0,4,3
480,250089228,80.34,90,73,20,5,1,0,3
481,250005231,80.34,42,35,0,2,0,0,3
482,250104066,80,145,117,0,1,0,0,3
483,250169705,80,94,76,25,4,1,0,3
484,250000679,80,71,58,0,0,0,0,3
485,250103243,80,71,56,16.67,6,1,4,2
486,250132886,80,41,34,0,0,0,2,2
487,250132730,80,38,30,0,5,0,0,3
488,250102901,80,17,14,100,1,1,0,2
489,250118797,80,17,14,0,0,0,0,2
490,250177333,80,15,12,0,0,0,1,1
491,250198120,80,10,8,0,0,0,1,1
492,250166680,80,10,8,0,0,0,0,1
493,250029862,80,5,4,0,0,0,0,1
