,id_player,player_name,nationality,field_position,position,weight(kg),height(cm),age,id_team,player_image
621,250196665,Jhon Solís,Colombia,Midfielder,UNKNOWN,,,20,2602798,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250196665.jpg
622,250091841,Eljif Elmas,North Macedonia,Midfielder,CENTRAL_MIDFIELDER,,,25,2603790,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250091841.jpg
623,250041564,Július Szöke,Slovakia,Midfielder,,,,29,52797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250041564.jpg
624,250121536,Krépin Diatta,Senegal,Midfielder,WINGER,,,25,50023,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250121536.jpg
625,1906511,Milan Rodić,Serbia,Defender,FULL_BACK,,185.0,33,50069,https://img.uefa.com/imgml/TP/players/1/2025/324x324/1906511.jpg
626,250198274,Idjessi Metsoko,France,Forward,,,,22,52797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250198274.jpg
627,250099399,Michel Aebischer,Switzerland,Midfielder,CENTRAL_MIDFIELDER,,,27,52969,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250099399.jpg
628,1909868,James Forrest,Scotland,Midfielder,WINGER,67.0,170.0,33,50050,https://img.uefa.com/imgml/TP/players/1/2025/324x324/1909868.jpg
629,250086709,Dani Ceballos,Spain,Midfielder,CENTRAL_MIDFIELDER,65.0,176.0,28,50051,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250086709.jpg
630,250138626,Nicolò Casale,Italy,Defender,,,,26,52969,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250138626.jpg
631,250171667,Héctor Fort,Spain,Defender,,,,18,50080,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250171667.jpg
632,250077644,Abdu Conté,Portugal,Defender,UNKNOWN,,,26,50031,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250077644.jpg
633,250055109,Lukáš Sadílek,Czechia,Midfielder,UNKNOWN,,,28,50033,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250055109.jpg
634,250058215,Joe Gomez,England,Defender,UNKNOWN,,,27,7889,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250058215.jpg
635,250144964,Pedrinho,Brazil,Midfielder,WINGER,,,26,52707,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250144964.jpg
636,250164004,Ognjen Mimović,Serbia,Defender,,,,20,50069,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250164004.jpg
637,250123428,Mathias Pereira Lage,France,Forward,,,,27,2601306,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250123428.jpg
638,250166680,Vasilije Adžić,Montenegro,Midfielder,UNKNOWN,,,18,50139,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250166680.jpg
639,250050416,Eric Dier,England,Defender,DEFENSIVE_MIDFIELDER,88.0,188.0,30,50037,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250050416.jpg
640,250187620,Ricardo Pepi,USA,Forward,UNKNOWN,,,21,50062,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250187620.jpg
641,250143669,Kristjan Asllani,Albania,Midfielder,UNKNOWN,,,22,50138,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250143669.jpg
642,250055216,Nemanja Radonjić,Serbia,Midfielder,WINGER,,,28,50069,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250055216.jpg
643,250163186,Lukas Kačavenda,Croatia,Midfielder,,,,21,50164,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250163186.jpg
644,250193534,Pau Victor,Spain,Forward,,,,22,50080,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250193534.jpg
645,250110159,Arbër Hoxha,Albania,Forward,UNKNOWN,,,26,50164,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250110159.jpg
646,250181082,Myles Lewis-Skelly,England,Midfielder,,,,18,52280,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250181082.jpg
647,250187067,Felício Milson,Angola,Midfielder,,,,25,50069,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250187067.jpg
648,250127024,Fredrik Oppegård,Norway,Defender,FULL_BACK,,,22,50062,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250127024.jpg
649,250198120,Jeyland Mitchell,Costa Rica,Defender,UNKNOWN,,,20,52749,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250198120.jpg
650,250138982,Romeo Vermant,Belgium,Forward,UNKNOWN,,,20,50043,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250138982.jpg
651,250175393,Ibrahim Salah,Belgium,Forward,UNKNOWN,,,23,2601306,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250175393.jpg
652,250058218,Renato Sanches,Portugal,Midfielder,CENTRAL_MIDFIELDER,70.0,176.0,27,50147,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250058218.jpg
653,250134190,Arthur Cabral,Brazil,Forward,STRIKER,,,26,50147,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250134190.jpg
654,250096737,Anthony Ralston,Scotland,Defender,FULL_BACK,,,25,50050,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250096737.jpg
655,250130771,Kryštof Daněk,Czechia,Midfielder,,,,21,50033,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250130771.jpg
656,250118912,Eliot Matazo,Belgium,Midfielder,UNKNOWN,,,22,50023,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250118912.jpg
657,250196663,Chris-Kévin Nadje,Ivory Coast,Midfielder,,,,23,52749,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250196663.jpg
658,250174602,Luis Palma,Honduras,Midfielder,,,,24,50050,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250174602.jpg
659,250056982,Guélor Kanga,Gabon,Midfielder,ATTACKING_MIDFIELDER,,,34,50069,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250056982.jpg
660,250029862,Aleksandar Katai,Serbia,Midfielder,WINGER,74.0,182.0,33,50069,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250029862.jpg
661,250187899,Conrad Harder,Denmark,Forward,,,,19,50149,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250187899.jpg
