id_player,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted
250088389,,,,,
250088117,,,,,
250086637,,,,,
250082738,,,,,
250082625,,,,,
250081634,,,,,
250074072,,,,,
250070418,,,,,
250069830,,,,,
250067821,,,,,
250067541,,,,,
250066521,,,,,
250065307,,,,,
250061507,,,,,
250058121,,,,,
250056735,,,,,
250042778,,,,,
250041563,,,,,
250040599,,,,,
250017814,,,,,
250015753,,,,,
250011071,,,,,
250000104,,,,,
108501,,,,,
103827,,,,,
101585,,,,,
